idx,metrics,AD_type,judge_value,y_pred,y_true
0,15.214336029332163,IAD,15.945839998550758,71.957985,0.0
1,15.214336029332163,IAD,15.945839998550758,71.957985,15.0
2,15.214336029332163,IAD,15.945839998550758,71.957985,19.0
3,16.545263336871397,OAD,16.19313325785468,22.775913,80.0
4,16.545263336871397,OAD,16.19313325785468,22.775913,87.0
5,16.545263336871397,OAD,16.19313325785468,22.775913,83.0
6,16.61093315037645,OAD,16.19313325785468,36.298473,58.0
7,16.61093315037645,OAD,16.19313325785468,36.298473,41.0
8,24.84185975943262,OAD,16.36529225644054,52.80454,80.0
9,24.84185975943262,OAD,16.36529225644054,52.80454,93.0
10,24.84185975943262,OAD,16.36529225644054,52.80454,88.0
11,25.40710148858196,OAD,16.36529225644054,45.02236,92.0
12,25.40710148858196,OAD,16.36529225644054,45.02236,87.0
13,26.378976791662634,OAD,16.36529225644054,17.310875,82.0
14,30.815597142305492,OAD,16.36529225644054,18.980705,84.0
15,28.205570195603915,OAD,16.36529225644054,35.2404,80.0
16,34.273495496129186,OAD,16.36529225644054,24.241245,87.0
17,29.22193972292439,OAD,16.36529225644054,22.81208,85.0
18,27.48366960217469,OAD,16.36529225644054,18.639133,80.0
19,28.372637520403533,OAD,16.36529225644054,49.575542,86.0
20,26.564667776207916,OAD,16.36529225644054,45.0313,82.0
21,28.267083473795843,OAD,16.36529225644054,41.923725,85.0
22,33.64307484959724,OAD,16.36529225644054,51.856026,87.0
23,34.67960815371272,OAD,16.36529225644054,38.470654,35.0
24,35.336802478011926,OAD,16.36529225644054,17.446512,31.0
25,38.3087645838473,OAD,16.36529225644054,61.770943,41.0
26,47.08874771144943,OAD,16.36529225644054,50.67388,29.0
27,23.25721364035412,OAD,16.730581770917095,62.15061,86.0
28,25.349250770004097,OAD,15.945839998550758,22.127352,0.0
29,20.118446373514843,OAD,15.945839998550758,31.417294,37.0
30,20.41435904563686,OAD,16.730581770917095,45.708347,49.0
31,27.484460171322585,OAD,16.730581770917095,46.19491,67.0
32,26.10450571252567,OAD,16.730581770917095,50.384228,0.0
33,22.64290399501745,OAD,16.730581770917095,74.50968,72.0
34,23.25721364035412,OAD,16.730581770917095,62.15061,23.0
35,23.25721364035412,OAD,16.730581770917095,62.15061,48.0
36,23.335250318841,OAD,16.730581770917095,51.763443,68.0
37,19.53648809240347,OAD,15.835600454525078,56.192482,0.0
38,22.64001052185355,OAD,15.835600454525078,46.30195,0.0
39,23.25721364035412,OAD,16.730581770917095,62.15061,86.0
40,24.223209996258962,OAD,16.730581770917095,43.51204,58.0
41,25.348000849240293,OAD,16.730581770917095,8.981638,9.0
